,Bot,DDOS attack-HOIC,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SSH-Bruteforce
Bot,1.0,0.3492,0.6991,0.3576,0.3635,0.4276,0.3568,0.3506,0.6929,0.5878
DDOS attack-HOIC,0.3492,1.0,0.5772,0.6325,0.4781,0.5387,0.4269,0.4439,0.3915,0.3784
DDoS attacks-LOIC-HTTP,0.6991,0.5772,1.0,0.6149,0.5763,0.4008,0.5197,0.3994,0.7392,0.5992
DoS attacks-GoldenEye,0.3576,0.6325,0.6149,1.0,0.7384,0.4196,0.6387,0.3792,0.3491,0.4789
DoS attacks-Hulk,0.3635,0.4781,0.5763,0.7384,1.0,0.3538,0.5804,0.3129,0.4532,0.5579
DoS attacks-SlowHTTPTest,0.4276,0.5387,0.4008,0.4196,0.3538,1.0,0.3956,0.9051,0.2196,0.3674
DoS attacks-Slowloris,0.3568,0.4269,0.5197,0.6387,0.5804,0.3956,1.0,0.4452,0.3523,0.4165
FTP-BruteForce,0.3506,0.4439,0.3994,0.3792,0.3129,0.9051,0.4452,1.0,0.1442,0.3676
Infilteration,0.6929,0.3915,0.7392,0.3491,0.4532,0.2196,0.3523,0.1442,1.0,0.5949
SSH-Bruteforce,0.5878,0.3784,0.5992,0.4789,0.5579,0.3674,0.4165,0.3676,0.5949,1.0
