semantic_class,source,target,condition,n_features,env_same,f1,auc_roc,n_pos_test,n_neg_test,f1_std,pair,env_src,env_tgt,src_topk_feats,mw_pval_vs_random
DoS,—,UNSW,Full-40,40,True,0.9192,0.9951,1159,11588,,,,,,
DoS,UNSW,UNSW,Target-10,10,True,0.9202,0.9951,1159,11588,,,,,,
DoS,Random,UNSW,Random-10,10,True,0.8876,0.9937,1159,11588,0.0164,,,,,
DoS,CIC,UNSW,SHAP-10,10,True,0.9174,0.9947,1159,11588,,CIC→UNSW,IT,IT,"['NUM_PKTS_512_TO_1024_BYTES', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'NUM_PKTS_256_TO_512_BYTES', 'DURATION_OUT', 'DST_TO_SRC_AVG_THROUGHPUT', 'L4_SRC_PORT', 'MAX_TTL', 'CLIENT_TCP_FLAGS', 'OUT_PKTS']",3.2e-05
DoS,ToN,UNSW,SHAP-10,10,False,0.8876,0.9931,1159,11588,,ToN→UNSW,IoT,IT,"['TCP_WIN_MAX_IN', 'LONGEST_FLOW_PKT', 'DNS_QUERY_TYPE', 'DNS_TTL_ANSWER', 'MIN_TTL', 'SRC_TO_DST_AVG_THROUGHPUT', 'IN_PKTS', 'DNS_QUERY_ID', 'L4_SRC_PORT', 'MIN_IP_PKT_LEN']",0.951115
DoS,BoT,UNSW,SHAP-10,10,False,0.8827,0.9923,1159,11588,,BoT→UNSW,IoT,IT,"['NUM_PKTS_UP_TO_128_BYTES', 'IN_BYTES', 'L4_SRC_PORT', 'FLOW_DURATION_MILLISECONDS', 'DURATION_IN', 'NUM_PKTS_128_TO_256_BYTES', 'SRC_TO_DST_SECOND_BYTES', 'TCP_WIN_MAX_IN', 'CLIENT_TCP_FLAGS', 'TCP_WIN_MAX_OUT']",0.951115
DoS,—,CIC,Full-40,40,True,1.0,1.0,6000,60000,,,,,,
DoS,CIC,CIC,Target-10,10,True,1.0,1.0,6000,60000,,,,,,
DoS,Random,CIC,Random-10,10,True,0.9987,1.0,6000,60000,0.001,,,,,
DoS,UNSW,CIC,SHAP-10,10,True,1.0,1.0,6000,60000,,UNSW→CIC,IT,IT,"['MIN_TTL', 'L4_SRC_PORT', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'MAX_TTL', 'TCP_FLAGS', 'SRC_TO_DST_SECOND_BYTES', 'IN_PKTS', 'RETRANSMITTED_OUT_BYTES', 'RETRANSMITTED_IN_BYTES']",3.1e-05
DoS,ToN,CIC,SHAP-10,10,False,0.9994,1.0,6000,60000,,ToN→CIC,IoT,IT,"['TCP_WIN_MAX_IN', 'LONGEST_FLOW_PKT', 'DNS_QUERY_TYPE', 'DNS_TTL_ANSWER', 'MIN_TTL', 'SRC_TO_DST_AVG_THROUGHPUT', 'IN_PKTS', 'DNS_QUERY_ID', 'L4_SRC_PORT', 'MIN_IP_PKT_LEN']",0.057473
DoS,BoT,CIC,SHAP-10,10,False,0.9994,1.0,6000,60000,,BoT→CIC,IoT,IT,"['NUM_PKTS_UP_TO_128_BYTES', 'IN_BYTES', 'L4_SRC_PORT', 'FLOW_DURATION_MILLISECONDS', 'DURATION_IN', 'NUM_PKTS_128_TO_256_BYTES', 'SRC_TO_DST_SECOND_BYTES', 'TCP_WIN_MAX_IN', 'CLIENT_TCP_FLAGS', 'TCP_WIN_MAX_OUT']",0.057473
DoS,—,ToN,Full-40,40,True,0.8982,0.9977,6000,60000,,,,,,
DoS,ToN,ToN,Target-10,10,True,0.8987,0.9978,6000,60000,,,,,,
DoS,Random,ToN,Random-10,10,True,0.8742,0.9974,6000,60000,0.0349,,,,,
DoS,UNSW,ToN,SHAP-10,10,False,0.8953,0.9978,6000,60000,,UNSW→ToN,IT,IoT,"['MIN_TTL', 'L4_SRC_PORT', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'MAX_TTL', 'TCP_FLAGS', 'SRC_TO_DST_SECOND_BYTES', 'IN_PKTS', 'RETRANSMITTED_OUT_BYTES', 'RETRANSMITTED_IN_BYTES']",3.2e-05
DoS,CIC,ToN,SHAP-10,10,False,0.8935,0.9978,6000,60000,,CIC→ToN,IT,IoT,"['NUM_PKTS_512_TO_1024_BYTES', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'NUM_PKTS_256_TO_512_BYTES', 'DURATION_OUT', 'DST_TO_SRC_AVG_THROUGHPUT', 'L4_SRC_PORT', 'MAX_TTL', 'CLIENT_TCP_FLAGS', 'OUT_PKTS']",0.008594
DoS,BoT,ToN,SHAP-10,10,True,0.8437,0.9972,6000,60000,,BoT→ToN,IoT,IoT,"['NUM_PKTS_UP_TO_128_BYTES', 'IN_BYTES', 'L4_SRC_PORT', 'FLOW_DURATION_MILLISECONDS', 'DURATION_IN', 'NUM_PKTS_128_TO_256_BYTES', 'SRC_TO_DST_SECOND_BYTES', 'TCP_WIN_MAX_IN', 'CLIENT_TCP_FLAGS', 'TCP_WIN_MAX_OUT']",0.999464
DoS,—,BoT,Full-40,40,True,0.9577,0.9991,6000,60000,,,,,,
DoS,BoT,BoT,Target-10,10,True,0.9574,0.9991,6000,60000,,,,,,
DoS,Random,BoT,Random-10,10,True,0.9266,0.9957,6000,60000,0.029,,,,,
DoS,UNSW,BoT,SHAP-10,10,False,0.948,0.9973,6000,60000,,UNSW→BoT,IT,IoT,"['MIN_TTL', 'L4_SRC_PORT', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'MAX_TTL', 'TCP_FLAGS', 'SRC_TO_DST_SECOND_BYTES', 'IN_PKTS', 'RETRANSMITTED_OUT_BYTES', 'RETRANSMITTED_IN_BYTES']",0.00071
DoS,CIC,BoT,SHAP-10,10,False,0.9516,0.9948,6000,60000,,CIC→BoT,IT,IoT,"['NUM_PKTS_512_TO_1024_BYTES', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'NUM_PKTS_256_TO_512_BYTES', 'DURATION_OUT', 'DST_TO_SRC_AVG_THROUGHPUT', 'L4_SRC_PORT', 'MAX_TTL', 'CLIENT_TCP_FLAGS', 'OUT_PKTS']",3.2e-05
DoS,ToN,BoT,SHAP-10,10,True,0.9383,0.9969,6000,60000,,ToN→BoT,IoT,IoT,"['TCP_WIN_MAX_IN', 'LONGEST_FLOW_PKT', 'DNS_QUERY_TYPE', 'DNS_TTL_ANSWER', 'MIN_TTL', 'SRC_TO_DST_AVG_THROUGHPUT', 'IN_PKTS', 'DNS_QUERY_ID', 'L4_SRC_PORT', 'MIN_IP_PKT_LEN']",0.008594
Reconnaissance,—,UNSW,Full-40,40,True,0.9652,0.9993,2556,25558,,,,,,
Reconnaissance,UNSW,UNSW,Target-10,10,True,0.9644,0.9993,2556,25558,,,,,,
Reconnaissance,Random,UNSW,Random-10,10,True,0.9485,0.9983,2556,25558,0.0147,,,,,
Reconnaissance,ToN,UNSW,SHAP-10,10,False,0.9624,0.9993,2556,25558,,ToN→UNSW,IoT,IT,"['LONGEST_FLOW_PKT', 'SRC_TO_DST_AVG_THROUGHPUT', 'SRC_TO_DST_SECOND_BYTES', 'IN_BYTES', 'L7_PROTO', 'SHORTEST_FLOW_PKT', 'L4_DST_PORT', 'FLOW_DURATION_MILLISECONDS', 'TCP_WIN_MAX_IN', 'TCP_FLAGS']",0.008594
Reconnaissance,BoT,UNSW,SHAP-10,10,False,0.9486,0.9988,2556,25558,,BoT→UNSW,IoT,IT,"['SERVER_TCP_FLAGS', 'FLOW_DURATION_MILLISECONDS', 'SRC_TO_DST_AVG_THROUGHPUT', 'TCP_FLAGS', 'TCP_WIN_MAX_OUT', 'IN_BYTES', 'TCP_WIN_MAX_IN', 'DURATION_IN', 'L4_SRC_PORT', 'SHORTEST_FLOW_PKT']",0.900177
Reconnaissance,—,ToN,Full-40,40,True,0.9736,0.9995,6000,60000,,,,,,
Reconnaissance,ToN,ToN,Target-10,10,True,0.9704,0.9995,6000,60000,,,,,,
