semantic_class,target,source,condition,env_same,seed,f1,auc_roc
DoS,UNSW,—,Full-40,True,42,0.91922,0.9951
DoS,UNSW,UNSW,Target-10,True,42,0.920192,0.995142
DoS,UNSW,CIC,SHAP-10,True,42,0.917395,0.994731
DoS,UNSW,ToN,SHAP-10,False,42,0.887601,0.993128
DoS,UNSW,BoT,SHAP-10,False,42,0.882669,0.992279
DoS,UNSW,Random,Random-10,True,42,0.889749,0.993862
DoS,UNSW,—,Full-40,True,43,0.903839,0.994074
DoS,UNSW,UNSW,Target-10,True,43,0.907225,0.994339
DoS,UNSW,CIC,SHAP-10,True,43,0.904931,0.993745
DoS,UNSW,ToN,SHAP-10,False,43,0.879815,0.991993
DoS,UNSW,BoT,SHAP-10,False,43,0.871775,0.991211
DoS,UNSW,Random,Random-10,True,43,0.906003,0.994212
DoS,UNSW,—,Full-40,True,44,0.920686,0.995994
DoS,UNSW,UNSW,Target-10,True,44,0.9166,0.995938
DoS,UNSW,CIC,SHAP-10,True,44,0.911753,0.995375
DoS,UNSW,ToN,SHAP-10,False,44,0.887941,0.993445
DoS,UNSW,BoT,SHAP-10,False,44,0.886047,0.992704
DoS,UNSW,Random,Random-10,True,44,0.882695,0.993834
DoS,UNSW,—,Full-40,True,45,0.9208,0.99485
DoS,UNSW,UNSW,Target-10,True,45,0.918832,0.995308
DoS,UNSW,CIC,SHAP-10,True,45,0.913286,0.994593
DoS,UNSW,ToN,SHAP-10,False,45,0.891415,0.992952
DoS,UNSW,BoT,SHAP-10,False,45,0.883379,0.992163
DoS,UNSW,Random,Random-10,True,45,0.884422,0.994454
DoS,UNSW,—,Full-40,True,46,0.921969,0.995835
DoS,UNSW,UNSW,Target-10,True,46,0.91976,0.995535
DoS,UNSW,CIC,SHAP-10,True,46,0.91866,0.99523
DoS,UNSW,ToN,SHAP-10,False,46,0.889752,0.99359
DoS,UNSW,BoT,SHAP-10,False,46,0.883488,0.992466
DoS,UNSW,Random,Random-10,True,46,0.910813,0.993974
DoS,UNSW,—,Full-40,True,47,0.916965,0.99593
DoS,UNSW,UNSW,Target-10,True,47,0.915173,0.995823
