semantic_class,target,seed,f1,auc_roc,top10_features,dominant_feature
DoS,UNSW,42,0.916832,0.995104,MIN_TTL;MAX_TTL;L4_SRC_PORT;L4_DST_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;DST_TO_SRC_SECOND_BYTES;L7_PROTO;OUT_BYTES;IN_BYTES,MIN_TTL
DoS,UNSW,43,0.904293,0.993581,MIN_TTL;SRC_TO_DST_SECOND_BYTES;L4_DST_PORT;L4_SRC_PORT;MAX_TTL;LONGEST_FLOW_PKT;IN_BYTES;DST_TO_SRC_AVG_THROUGHPUT;OUT_BYTES;ICMP_IPV4_TYPE,MIN_TTL
DoS,UNSW,44,0.914127,0.995263,MIN_TTL;MAX_TTL;L4_SRC_PORT;L4_DST_PORT;LONGEST_FLOW_PKT;OUT_BYTES;L7_PROTO;SRC_TO_DST_SECOND_BYTES;RETRANSMITTED_IN_BYTES;PROTOCOL,MIN_TTL
DoS,UNSW,45,0.916667,0.994422,MIN_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;IN_PKTS;MAX_TTL;DST_TO_SRC_AVG_THROUGHPUT;DST_TO_SRC_SECOND_BYTES;RETRANSMITTED_IN_PKTS,MIN_TTL
DoS,UNSW,46,0.909379,0.995019,MIN_TTL;MAX_TTL;L4_DST_PORT;LONGEST_FLOW_PKT;L4_SRC_PORT;SRC_TO_DST_SECOND_BYTES;ICMP_IPV4_TYPE;L7_PROTO;IN_BYTES;IN_PKTS,MIN_TTL
DoS,UNSW,47,0.914513,0.995156,MIN_TTL;MAX_TTL;L4_DST_PORT;L4_SRC_PORT;SRC_TO_DST_SECOND_BYTES;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;TCP_FLAGS;OUT_BYTES;RETRANSMITTED_OUT_BYTES,MIN_TTL
DoS,UNSW,48,0.910024,0.994592,MIN_TTL;MAX_TTL;L4_SRC_PORT;SRC_TO_DST_SECOND_BYTES;LONGEST_FLOW_PKT;L4_DST_PORT;OUT_BYTES;IN_BYTES;L7_PROTO;IN_PKTS,MIN_TTL
DoS,UNSW,49,0.911765,0.994931,MIN_TTL;MAX_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;L7_PROTO;IN_BYTES;OUT_BYTES;IN_PKTS,MIN_TTL
DoS,UNSW,50,0.90765,0.994508,MIN_TTL;MAX_TTL;L4_DST_PORT;SRC_TO_DST_SECOND_BYTES;L4_SRC_PORT;DST_TO_SRC_SECOND_BYTES;LONGEST_FLOW_PKT;CLIENT_TCP_FLAGS;IN_BYTES;IN_PKTS,MIN_TTL
DoS,UNSW,51,0.91053,0.994469,MIN_TTL;L4_DST_PORT;MAX_TTL;LONGEST_FLOW_PKT;L4_SRC_PORT;IN_PKTS;RETRANSMITTED_OUT_PKTS;RETRANSMITTED_IN_BYTES;DST_TO_SRC_AVG_THROUGHPUT;SRC_TO_DST_SECOND_BYTES,MIN_TTL
DoS,UNSW,52,0.907013,0.994318,MIN_TTL;MAX_TTL;L4_DST_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;L4_SRC_PORT;ICMP_IPV4_TYPE;DST_TO_SRC_AVG_THROUGHPUT;CLIENT_TCP_FLAGS;ICMP_TYPE,MIN_TTL
DoS,UNSW,53,0.901607,0.99383,MIN_TTL;MAX_TTL;L4_SRC_PORT;L4_DST_PORT;LONGEST_FLOW_PKT;RETRANSMITTED_IN_BYTES;TCP_FLAGS;DST_TO_SRC_SECOND_BYTES;RETRANSMITTED_IN_PKTS;L7_PROTO,MIN_TTL
DoS,UNSW,54,0.913923,0.995392,MIN_TTL;L4_DST_PORT;SRC_TO_DST_SECOND_BYTES;L4_SRC_PORT;LONGEST_FLOW_PKT;IN_BYTES;OUT_BYTES;TCP_FLAGS;MIN_IP_PKT_LEN;SRC_TO_DST_AVG_THROUGHPUT,MIN_TTL
DoS,UNSW,55,0.909379,0.994707,MIN_TTL;MAX_TTL;L4_SRC_PORT;L4_DST_PORT;LONGEST_FLOW_PKT;RETRANSMITTED_IN_BYTES;IN_PKTS;SRC_TO_DST_AVG_THROUGHPUT;ICMP_IPV4_TYPE;OUT_BYTES,MIN_TTL
DoS,UNSW,56,0.903328,0.994111,MIN_TTL;L4_DST_PORT;LONGEST_FLOW_PKT;MAX_TTL;SRC_TO_DST_SECOND_BYTES;L4_SRC_PORT;TCP_FLAGS;MIN_IP_PKT_LEN;DST_TO_SRC_SECOND_BYTES;IN_BYTES,MIN_TTL
DoS,UNSW,57,0.912184,0.994883,MIN_TTL;MAX_TTL;L4_DST_PORT;LONGEST_FLOW_PKT;L4_SRC_PORT;SRC_TO_DST_SECOND_BYTES;IN_BYTES;RETRANSMITTED_IN_BYTES;OUT_BYTES;L7_PROTO,MIN_TTL
DoS,UNSW,58,0.907729,0.994227,MIN_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;MAX_TTL;OUT_BYTES;SRC_TO_DST_SECOND_BYTES;IN_BYTES;TCP_FLAGS;L7_PROTO,MIN_TTL
DoS,UNSW,59,0.906646,0.994246,MIN_TTL;MAX_TTL;L4_SRC_PORT;L4_DST_PORT;LONGEST_FLOW_PKT;OUT_BYTES;SRC_TO_DST_SECOND_BYTES;IN_BYTES;RETRANSMITTED_IN_BYTES;DST_TO_SRC_AVG_THROUGHPUT,MIN_TTL
DoS,UNSW,60,0.904743,0.994584,MIN_TTL;L4_SRC_PORT;MAX_TTL;L4_DST_PORT;SRC_TO_DST_SECOND_BYTES;LONGEST_FLOW_PKT;L7_PROTO;IN_BYTES;RETRANSMITTED_IN_PKTS;OUT_BYTES,MIN_TTL
DoS,UNSW,61,0.90981,0.994554,MIN_TTL;L4_SRC_PORT;L4_DST_PORT;MAX_TTL;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;OUT_BYTES;L7_PROTO;IN_PKTS;DST_TO_SRC_AVG_THROUGHPUT,MIN_TTL
DoS,UNSW,62,0.906447,0.994463,MIN_TTL;MAX_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;TCP_FLAGS;ICMP_IPV4_TYPE;IN_PKTS;MIN_IP_PKT_LEN,MIN_TTL
DoS,UNSW,63,0.905734,0.995169,MIN_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;MAX_TTL;L7_PROTO;IN_BYTES;OUT_BYTES;RETRANSMITTED_IN_BYTES,MIN_TTL
DoS,UNSW,64,0.896444,0.993597,MIN_TTL;L4_SRC_PORT;L4_DST_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;RETRANSMITTED_IN_BYTES;L7_PROTO;OUT_BYTES;IN_BYTES;DST_TO_SRC_SECOND_BYTES,MIN_TTL
DoS,UNSW,65,0.919265,0.994918,MIN_TTL;MAX_TTL;L4_DST_PORT;LONGEST_FLOW_PKT;L4_SRC_PORT;OUT_BYTES;SRC_TO_DST_SECOND_BYTES;IN_PKTS;ICMP_TYPE;ICMP_IPV4_TYPE,MIN_TTL
DoS,UNSW,66,0.904088,0.993751,MIN_TTL;L4_SRC_PORT;L4_DST_PORT;MAX_TTL;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;MIN_IP_PKT_LEN;TCP_FLAGS;IN_BYTES;RETRANSMITTED_IN_BYTES,MIN_TTL
DoS,UNSW,67,0.902391,0.993965,MIN_TTL;MAX_TTL;L4_SRC_PORT;L4_DST_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;DST_TO_SRC_SECOND_BYTES;RETRANSMITTED_IN_BYTES;NUM_PKTS_UP_TO_128_BYTES;OUT_BYTES,MIN_TTL
DoS,UNSW,68,0.899297,0.994416,MIN_TTL;L4_DST_PORT;MAX_TTL;L4_SRC_PORT;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;SRC_TO_DST_SECOND_BYTES;IN_PKTS;TCP_FLAGS;OUT_BYTES,MIN_TTL
DoS,UNSW,69,0.905571,0.995107,MIN_TTL;MAX_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;IN_BYTES;MIN_IP_PKT_LEN;OUT_BYTES;IN_PKTS,MIN_TTL
