semantic_class,target,seed,n_test_pos_used,top10_features,dominant_feature
DoS,UNSW,42,1159,MIN_TTL;MAX_TTL;L4_SRC_PORT;L4_DST_PORT;SRC_TO_DST_SECOND_BYTES;LONGEST_FLOW_PKT;DST_TO_SRC_SECOND_BYTES;L7_PROTO;IN_BYTES;DST_TO_SRC_AVG_THROUGHPUT,MIN_TTL
DoS,UNSW,43,1159,MIN_TTL;SRC_TO_DST_SECOND_BYTES;L4_DST_PORT;L4_SRC_PORT;MAX_TTL;LONGEST_FLOW_PKT;DST_TO_SRC_AVG_THROUGHPUT;IN_BYTES;OUT_BYTES;ICMP_IPV4_TYPE,MIN_TTL
DoS,UNSW,44,1159,MIN_TTL;MAX_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;OUT_BYTES;L7_PROTO;SRC_TO_DST_SECOND_BYTES;PROTOCOL;RETRANSMITTED_IN_BYTES,MIN_TTL
DoS,UNSW,45,1159,MIN_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;DST_TO_SRC_AVG_THROUGHPUT;MAX_TTL;IN_PKTS;DST_TO_SRC_SECOND_BYTES;RETRANSMITTED_IN_PKTS,MIN_TTL
DoS,UNSW,46,1159,MIN_TTL;MAX_TTL;L4_DST_PORT;LONGEST_FLOW_PKT;L4_SRC_PORT;SRC_TO_DST_SECOND_BYTES;ICMP_IPV4_TYPE;L7_PROTO;IN_BYTES;RETRANSMITTED_IN_BYTES,MIN_TTL
DoS,UNSW,47,1159,MIN_TTL;MAX_TTL;L4_DST_PORT;SRC_TO_DST_SECOND_BYTES;L4_SRC_PORT;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;TCP_FLAGS;OUT_BYTES;RETRANSMITTED_OUT_BYTES,MIN_TTL
DoS,UNSW,48,1159,MIN_TTL;MAX_TTL;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;L4_DST_PORT;OUT_BYTES;IN_BYTES;SRC_TO_DST_AVG_THROUGHPUT;L7_PROTO,MIN_TTL
DoS,UNSW,49,1159,MIN_TTL;MAX_TTL;L4_DST_PORT;L4_SRC_PORT;LONGEST_FLOW_PKT;SRC_TO_DST_SECOND_BYTES;L7_PROTO;OUT_BYTES;IN_BYTES;TCP_FLAGS,MIN_TTL
DoS,UNSW,50,1159,MIN_TTL;MAX_TTL;L4_DST_PORT;SRC_TO_DST_SECOND_BYTES;L4_SRC_PORT;LONGEST_FLOW_PKT;DST_TO_SRC_SECOND_BYTES;CLIENT_TCP_FLAGS;IN_BYTES;IN_PKTS,MIN_TTL
DoS,UNSW,51,1159,MIN_TTL;L4_DST_PORT;MAX_TTL;LONGEST_FLOW_PKT;L4_SRC_PORT;IN_PKTS;RETRANSMITTED_OUT_PKTS;RETRANSMITTED_IN_BYTES;DST_TO_SRC_AVG_THROUGHPUT;SRC_TO_DST_SECOND_BYTES,MIN_TTL
