semantic_class,source,target,pair,env_same,env_src,env_tgt,jsd_all_feats,jsd_topk_feats,n_src_samples,n_tgt_samples,src_topk,delta_mean,cohen_d,wilcoxon_p_corrected,significant_corrected
DoS,UNSW,CIC,UNSW→CIC,True,IT,IT,0.183873,0.209798,5000,5000,"['MIN_TTL', 'L4_SRC_PORT', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'MAX_TTL', 'TCP_FLAGS', 'SRC_TO_DST_SECOND_BYTES', 'IN_PKTS', 'RETRANSMITTED_OUT_BYTES', 'RETRANSMITTED_IN_BYTES']",0.0042,0.548,3.2e-05,True
DoS,UNSW,ToN,UNSW→ToN,False,IT,IoT,0.150996,0.238373,5000,5000,"['MIN_TTL', 'L4_SRC_PORT', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'MAX_TTL', 'TCP_FLAGS', 'SRC_TO_DST_SECOND_BYTES', 'IN_PKTS', 'RETRANSMITTED_OUT_BYTES', 'RETRANSMITTED_IN_BYTES']",0.0222,0.7039,0.0,True
DoS,UNSW,BoT,UNSW→BoT,False,IT,IoT,0.167474,0.21898,5000,5000,"['MIN_TTL', 'L4_SRC_PORT', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'MAX_TTL', 'TCP_FLAGS', 'SRC_TO_DST_SECOND_BYTES', 'IN_PKTS', 'RETRANSMITTED_OUT_BYTES', 'RETRANSMITTED_IN_BYTES']",0.0197,1.0312,0.0,True
DoS,CIC,UNSW,CIC→UNSW,True,IT,IT,0.183873,0.228233,5000,5000,"['NUM_PKTS_512_TO_1024_BYTES', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'NUM_PKTS_256_TO_512_BYTES', 'DURATION_OUT', 'DST_TO_SRC_AVG_THROUGHPUT', 'L4_SRC_PORT', 'MAX_TTL', 'CLIENT_TCP_FLAGS', 'OUT_PKTS']",0.0183,1.9211,0.0,True
DoS,CIC,ToN,CIC→ToN,False,IT,IoT,0.382665,0.429245,5000,5000,"['NUM_PKTS_512_TO_1024_BYTES', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'NUM_PKTS_256_TO_512_BYTES', 'DURATION_OUT', 'DST_TO_SRC_AVG_THROUGHPUT', 'L4_SRC_PORT', 'MAX_TTL', 'CLIENT_TCP_FLAGS', 'OUT_PKTS']",0.0205,0.6497,0.008388,True
DoS,CIC,BoT,CIC→BoT,False,IT,IoT,0.321413,0.387918,5000,5000,"['NUM_PKTS_512_TO_1024_BYTES', 'L4_DST_PORT', 'LONGEST_FLOW_PKT', 'NUM_PKTS_256_TO_512_BYTES', 'DURATION_OUT', 'DST_TO_SRC_AVG_THROUGHPUT', 'L4_SRC_PORT', 'MAX_TTL', 'CLIENT_TCP_FLAGS', 'OUT_PKTS']",0.0224,1.1717,0.0,True
DoS,ToN,UNSW,ToN→UNSW,False,IoT,IT,0.150996,0.253201,5000,5000,"['TCP_WIN_MAX_IN', 'LONGEST_FLOW_PKT', 'DNS_QUERY_TYPE', 'DNS_TTL_ANSWER', 'MIN_TTL', 'SRC_TO_DST_AVG_THROUGHPUT', 'IN_PKTS', 'DNS_QUERY_ID', 'L4_SRC_PORT', 'MIN_IP_PKT_LEN']",-0.0063,-0.649,1.0,False
DoS,ToN,CIC,ToN→CIC,False,IoT,IT,0.382665,0.429402,5000,5000,"['TCP_WIN_MAX_IN', 'LONGEST_FLOW_PKT', 'DNS_QUERY_TYPE', 'DNS_TTL_ANSWER', 'MIN_TTL', 'SRC_TO_DST_AVG_THROUGHPUT', 'IN_PKTS', 'DNS_QUERY_ID', 'L4_SRC_PORT', 'MIN_IP_PKT_LEN']",0.0036,0.466,0.02831,True
DoS,ToN,BoT,ToN→BoT,True,IoT,IoT,0.232347,0.2987,5000,5000,"['TCP_WIN_MAX_IN', 'LONGEST_FLOW_PKT', 'DNS_QUERY_TYPE', 'DNS_TTL_ANSWER', 'MIN_TTL', 'SRC_TO_DST_AVG_THROUGHPUT', 'IN_PKTS', 'DNS_QUERY_ID', 'L4_SRC_PORT', 'MIN_IP_PKT_LEN']",0.0098,0.5143,1.0,False
DoS,BoT,UNSW,BoT→UNSW,False,IoT,IT,0.167474,0.255621,5000,5000,"['NUM_PKTS_UP_TO_128_BYTES', 'IN_BYTES', 'L4_SRC_PORT', 'FLOW_DURATION_MILLISECONDS', 'DURATION_IN', 'NUM_PKTS_128_TO_256_BYTES', 'SRC_TO_DST_SECOND_BYTES', 'TCP_WIN_MAX_IN', 'CLIENT_TCP_FLAGS', 'TCP_WIN_MAX_OUT']",-0.0124,-1.2474,1.0,False
DoS,BoT,CIC,BoT→CIC,False,IoT,IT,0.321413,0.465135,5000,5000,"['NUM_PKTS_UP_TO_128_BYTES', 'IN_BYTES', 'L4_SRC_PORT', 'FLOW_DURATION_MILLISECONDS', 'DURATION_IN', 'NUM_PKTS_128_TO_256_BYTES', 'SRC_TO_DST_SECOND_BYTES', 'TCP_WIN_MAX_IN', 'CLIENT_TCP_FLAGS', 'TCP_WIN_MAX_OUT']",0.0034,0.4465,0.202466,False
DoS,BoT,ToN,BoT→ToN,True,IoT,IoT,0.232347,0.315049,5000,5000,"['NUM_PKTS_UP_TO_128_BYTES', 'IN_BYTES', 'L4_SRC_PORT', 'FLOW_DURATION_MILLISECONDS', 'DURATION_IN', 'NUM_PKTS_128_TO_256_BYTES', 'SRC_TO_DST_SECOND_BYTES', 'TCP_WIN_MAX_IN', 'CLIENT_TCP_FLAGS', 'TCP_WIN_MAX_OUT']",-0.0315,-0.999,1.0,False
Reconnaissance,UNSW,ToN,UNSW→ToN,False,IT,IoT,0.188354,0.295538,5000,5000,"['MIN_TTL', 'L4_DST_PORT', 'MIN_IP_PKT_LEN', 'MAX_TTL', 'L4_SRC_PORT', 'SRC_TO_DST_SECOND_BYTES', 'SHORTEST_FLOW_PKT', 'LONGEST_FLOW_PKT', 'ICMP_TYPE', 'L7_PROTO']",0.1195,1.1277,0.0,True
