semantic_class,target,source,condition,env_same,seed,f1,auc_roc
DoS,UNSW,CIC,Random-10-Direct,True,42,0.0,0.422888
DoS,UNSW,ToN,Random-10-Direct,False,42,0.0,0.274319
DoS,UNSW,BoT,Random-10-Direct,False,42,0.0,0.648782
DoS,UNSW,CIC,Random-10-Direct,True,43,0.001721,0.562056
DoS,UNSW,ToN,Random-10-Direct,False,43,0.0,0.507721
DoS,UNSW,BoT,Random-10-Direct,False,43,0.0,0.466916
DoS,UNSW,CIC,Random-10-Direct,True,44,0.0,0.219679
DoS,UNSW,ToN,Random-10-Direct,False,44,0.001721,0.562568
DoS,UNSW,BoT,Random-10-Direct,False,44,0.0,0.568999
DoS,UNSW,CIC,Random-10-Direct,True,45,0.04447,0.422693
DoS,UNSW,ToN,Random-10-Direct,False,45,0.01336,0.647941
DoS,UNSW,BoT,Random-10-Direct,False,45,0.0,0.620604
DoS,UNSW,CIC,Random-10-Direct,True,46,0.242684,0.447964
DoS,UNSW,ToN,Random-10-Direct,False,46,0.0,0.300557
DoS,UNSW,BoT,Random-10-Direct,False,46,0.055794,0.476503
DoS,UNSW,CIC,Random-10-Direct,True,47,0.0,0.576842
DoS,UNSW,ToN,Random-10-Direct,False,47,0.0,0.617014
DoS,UNSW,BoT,Random-10-Direct,False,47,0.0,0.765501
DoS,UNSW,CIC,Random-10-Direct,True,48,0.341564,0.773504
DoS,UNSW,ToN,Random-10-Direct,False,48,0.003436,0.44094
DoS,UNSW,BoT,Random-10-Direct,False,48,0.006873,0.701773
DoS,UNSW,CIC,Random-10-Direct,True,49,0.015398,0.828903
DoS,UNSW,ToN,Random-10-Direct,False,49,0.002088,0.539809
DoS,UNSW,BoT,Random-10-Direct,False,49,0.0,0.38814
DoS,UNSW,CIC,Random-10-Direct,True,50,0.011997,0.435862
DoS,UNSW,ToN,Random-10-Direct,False,50,0.054143,0.611844
DoS,UNSW,BoT,Random-10-Direct,False,50,0.0,0.604714
DoS,UNSW,CIC,Random-10-Direct,True,51,0.30643,0.341406
DoS,UNSW,ToN,Random-10-Direct,False,51,0.003442,0.376454
DoS,UNSW,BoT,Random-10-Direct,False,51,0.001717,0.378436
DoS,UNSW,CIC,Random-10-Direct,True,52,0.001447,0.626759
DoS,UNSW,ToN,Random-10-Direct,False,52,0.003442,0.647297
DoS,UNSW,BoT,Random-10-Direct,False,52,0.0,0.697723
DoS,UNSW,CIC,Random-10-Direct,True,53,0.008584,0.729094
DoS,UNSW,ToN,Random-10-Direct,False,53,0.008598,0.445322
DoS,UNSW,BoT,Random-10-Direct,False,53,0.0,0.62971
DoS,UNSW,CIC,Random-10-Direct,True,54,0.24622,0.74001
DoS,UNSW,ToN,Random-10-Direct,False,54,0.03368,0.390834
DoS,UNSW,BoT,Random-10-Direct,False,54,0.006116,0.665759
DoS,UNSW,CIC,Random-10-Direct,True,55,0.008584,0.6343
DoS,UNSW,ToN,Random-10-Direct,False,55,0.010093,0.70012
DoS,UNSW,BoT,Random-10-Direct,False,55,0.0,0.573912
DoS,UNSW,CIC,Random-10-Direct,True,56,0.001718,0.542309
DoS,UNSW,ToN,Random-10-Direct,False,56,0.003419,0.4136
DoS,UNSW,BoT,Random-10-Direct,False,56,0.0,0.610162
DoS,UNSW,CIC,Random-10-Direct,True,57,0.042159,0.291257
DoS,UNSW,ToN,Random-10-Direct,False,57,0.0,0.325987
DoS,UNSW,BoT,Random-10-Direct,False,57,0.0,0.365309
DoS,UNSW,CIC,Random-10-Direct,True,58,0.04534,0.480536
DoS,UNSW,ToN,Random-10-Direct,False,58,0.007686,0.637721
DoS,UNSW,BoT,Random-10-Direct,False,58,0.003287,0.558225
DoS,UNSW,CIC,Random-10-Direct,True,59,0.005291,0.235118
DoS,UNSW,ToN,Random-10-Direct,False,59,0.015411,0.789102
DoS,UNSW,BoT,Random-10-Direct,False,59,0.00341,0.507427
DoS,UNSW,CIC,Random-10-Direct,True,60,0.025338,0.509476
DoS,UNSW,ToN,Random-10-Direct,False,60,0.004213,0.516401
DoS,UNSW,BoT,Random-10-Direct,False,60,0.0,0.683597
DoS,UNSW,CIC,Random-10-Direct,True,61,0.056171,0.515053
DoS,UNSW,ToN,Random-10-Direct,False,61,0.0,0.55833
DoS,UNSW,BoT,Random-10-Direct,False,61,0.036484,0.625267
DoS,UNSW,CIC,Random-10-Direct,True,62,0.026966,0.739091
DoS,UNSW,ToN,Random-10-Direct,False,62,0.0,0.48505
DoS,UNSW,BoT,Random-10-Direct,False,62,0.276446,0.854299
DoS,UNSW,CIC,Random-10-Direct,True,63,0.0,0.572531
DoS,UNSW,ToN,Random-10-Direct,False,63,0.001726,0.687631
DoS,UNSW,BoT,Random-10-Direct,False,63,0.021757,0.700633
DoS,UNSW,CIC,Random-10-Direct,True,64,0.216741,0.596923
DoS,UNSW,ToN,Random-10-Direct,False,64,0.005068,0.448806
DoS,UNSW,BoT,Random-10-Direct,False,64,0.0,0.405639
DoS,UNSW,CIC,Random-10-Direct,True,65,0.0,0.632794
DoS,UNSW,ToN,Random-10-Direct,False,65,0.005164,0.625029
DoS,UNSW,BoT,Random-10-Direct,False,65,0.0,0.537042
DoS,UNSW,CIC,Random-10-Direct,True,66,0.023729,0.49104
DoS,UNSW,ToN,Random-10-Direct,False,66,0.001695,0.689219
DoS,UNSW,BoT,Random-10-Direct,False,66,0.003448,0.460223
DoS,UNSW,CIC,Random-10-Direct,True,67,0.005882,0.393874
DoS,UNSW,ToN,Random-10-Direct,False,67,0.001251,0.478633
DoS,UNSW,BoT,Random-10-Direct,False,67,0.0,0.194058
DoS,UNSW,CIC,Random-10-Direct,True,68,0.011859,0.186698
DoS,UNSW,ToN,Random-10-Direct,False,68,0.005128,0.396285
DoS,UNSW,BoT,Random-10-Direct,False,68,0.001693,0.788996
DoS,UNSW,CIC,Random-10-Direct,True,69,0.011945,0.437558
DoS,UNSW,ToN,Random-10-Direct,False,69,0.0,0.197529
DoS,UNSW,BoT,Random-10-Direct,False,69,0.0,0.499643
DoS,UNSW,CIC,Random-10-Direct,True,70,0.0,0.540585
DoS,UNSW,ToN,Random-10-Direct,False,70,0.011189,0.281139
DoS,UNSW,BoT,Random-10-Direct,False,70,0.0,0.689365
DoS,UNSW,CIC,Random-10-Direct,True,71,0.0,0.303381
DoS,UNSW,ToN,Random-10-Direct,False,71,0.471089,0.730106
DoS,UNSW,BoT,Random-10-Direct,False,71,0.0,0.435831
DoS,CIC,UNSW,Random-10-Direct,True,42,0.103238,0.666347
DoS,CIC,ToN,Random-10-Direct,False,42,0.011457,0.626786
DoS,CIC,BoT,Random-10-Direct,False,42,0.0,0.161003
DoS,CIC,UNSW,Random-10-Direct,True,43,0.070191,0.313293
DoS,CIC,ToN,Random-10-Direct,False,43,0.0,0.551723
DoS,CIC,BoT,Random-10-Direct,False,43,0.0,0.352287
DoS,CIC,UNSW,Random-10-Direct,True,44,0.008219,0.029903
DoS,CIC,ToN,Random-10-Direct,False,44,0.0,0.415099
DoS,CIC,BoT,Random-10-Direct,False,44,0.0,0.74349
DoS,CIC,UNSW,Random-10-Direct,True,45,0.20532,0.55188
DoS,CIC,ToN,Random-10-Direct,False,45,0.001287,0.612053
DoS,CIC,BoT,Random-10-Direct,False,45,0.011843,0.743148
DoS,CIC,UNSW,Random-10-Direct,True,46,0.199462,0.557304
DoS,CIC,ToN,Random-10-Direct,False,46,0.007139,0.589477
DoS,CIC,BoT,Random-10-Direct,False,46,0.005073,0.657274
DoS,CIC,UNSW,Random-10-Direct,True,47,0.011569,0.06879
DoS,CIC,ToN,Random-10-Direct,False,47,0.014161,0.457838
DoS,CIC,BoT,Random-10-Direct,False,47,0.006994,0.718904
DoS,CIC,UNSW,Random-10-Direct,True,48,0.014386,0.147696
DoS,CIC,ToN,Random-10-Direct,False,48,0.0,0.579123
DoS,CIC,BoT,Random-10-Direct,False,48,0.0,0.461334
DoS,CIC,UNSW,Random-10-Direct,True,49,0.132635,0.483211
DoS,CIC,ToN,Random-10-Direct,False,49,0.0,0.469703
DoS,CIC,BoT,Random-10-Direct,False,49,0.041615,0.795487
DoS,CIC,UNSW,Random-10-Direct,True,50,0.000221,0.121354
DoS,CIC,ToN,Random-10-Direct,False,50,0.030372,0.637657
DoS,CIC,BoT,Random-10-Direct,False,50,0.018473,0.494229
DoS,CIC,UNSW,Random-10-Direct,True,51,0.000421,0.18519
DoS,CIC,ToN,Random-10-Direct,False,51,0.000452,0.586413
DoS,CIC,BoT,Random-10-Direct,False,51,0.097167,0.766807
DoS,CIC,UNSW,Random-10-Direct,True,52,0.010722,0.55058
DoS,CIC,ToN,Random-10-Direct,False,52,0.0,0.538177
DoS,CIC,BoT,Random-10-Direct,False,52,0.0,0.618742
DoS,CIC,UNSW,Random-10-Direct,True,53,0.000133,0.067858
DoS,CIC,ToN,Random-10-Direct,False,53,0.006667,0.736767
