semantic_class,source,target,n_seeds,random_direct_auc_mean,random_direct_f1_mean,shap_direct_auc_mean,shap_direct_f1_mean,delta_auc,wilcoxon_p_f1_shap_gt_random
DoS,BoT,CIC,30,0.6599151000000002,0.021516266666666665,0.7290323666666667,0.0,0.06911726666666651,0.9999340830555086
DoS,BoT,ToN,30,0.44636393333333335,6.296666666666666e-05,0.4360255666666666,0.0,-0.010338366666666765,0.9455952849797271
DoS,BoT,UNSW,30,0.5701062666666666,0.013900833333333334,0.5435746333333334,0.00034073333333333334,-0.026531633333333193,0.9866217231877662
DoS,CIC,BoT,30,0.7174004000000002,0.08045066666666667,0.8169074000000001,0.037848233333333335,0.0995069999999999,0.154260384850204
DoS,CIC,ToN,30,0.33437059999999996,0.00012006666666666667,0.20633323333333334,0.0,-0.12803736666666662,0.9974689839368661
DoS,CIC,UNSW,30,0.5076727999999999,0.05674126666666667,0.6997663333333335,0.30835416666666665,0.19209353333333357,4.6566128730773926e-09
DoS,ToN,BoT,30,0.31106280000000003,0.0003837333333333333,0.6645737999999999,0.0,0.35351099999999985,0.8413447460685429
DoS,ToN,CIC,30,0.5594435666666666,0.005409033333333333,0.6130749333333334,0.0003597,0.05363136666666679,0.9973830454046059
DoS,ToN,UNSW,30,0.5107769333333333,0.02223473333333333,0.3525148,0.0002738,-0.15826213333333328,0.9999798938187053
DoS,UNSW,BoT,30,0.30481253333333336,0.0992769,0.5479860333333334,0.19034976666666673,0.24317350000000004,0.0002774130553007126
DoS,UNSW,CIC,30,0.2580764,0.055965400000000005,0.6253786333333334,0.20412406666666663,0.36730223333333345,4.6566128730773926e-09
DoS,UNSW,ToN,30,0.6407666666666666,0.2354707333333334,0.6775783666666668,0.03937343333333333,0.036811700000000225,0.9999991580843925
Reconnaissance,BoT,ToN,30,0.5165276666666666,0.16830970000000003,0.4284883666666665,0.14344726666666668,-0.0880393000000001,0.9959285100921988
Reconnaissance,BoT,UNSW,30,0.4721638,0.1422761333333333,0.6148734,0.18789036666666664,0.1427096,0.0010100910440087318
Reconnaissance,ToN,BoT,30,0.8216576999999999,0.22091986666666666,0.7610756333333332,0.11712503333333335,-0.06058206666666677,0.9616393921896815
Reconnaissance,ToN,UNSW,30,0.7984034999999999,0.030133733333333333,0.8001955333333334,0.0008568000000000001,0.0017920333333334426,0.4291226986557895
Reconnaissance,UNSW,BoT,30,0.48125106666666667,0.07651590000000001,0.5615392,0.002629033333333333,0.08028813333333334,0.9998954366892576
Reconnaissance,UNSW,ToN,30,0.6468357,0.12642856666666663,0.7683637999999999,0.0015312,0.12152809999999992,0.9999881666153669
