Attack,Source,Target,Env,Direct_AUC_ROC,Direct_F1_0.5thr,SHAP10_F1_target_retrained
DoS,BoT,CIC,Cross,0.729,0.0,0.9992
DoS,BoT,ToN,Same,0.436,0.0,0.8414
DoS,BoT,UNSW,Cross,0.5436,0.0003,0.8784
DoS,CIC,BoT,Cross,0.8169,0.0378,0.9489
DoS,CIC,ToN,Cross,0.2063,0.0,0.8933
DoS,CIC,UNSW,Same,0.6998,0.3084,0.9091
DoS,ToN,BoT,Same,0.6646,0.0,0.9364
DoS,ToN,CIC,Cross,0.6131,0.0004,0.9993
DoS,ToN,UNSW,Cross,0.3525,0.0003,0.8845
DoS,UNSW,BoT,Cross,0.548,0.1903,0.9463
DoS,UNSW,CIC,Same,0.6254,0.2041,0.9999
DoS,UNSW,ToN,Cross,0.6776,0.0394,0.895
Reconnaissance,BoT,ToN,Same,0.4285,0.1434,0.8359
Reconnaissance,BoT,UNSW,Cross,0.6149,0.1879,0.9485
Reconnaissance,ToN,BoT,Same,0.7611,0.1171,0.9258
Reconnaissance,ToN,UNSW,Cross,0.8002,0.0009,0.9636
Reconnaissance,UNSW,BoT,Cross,0.5615,0.0026,0.9646
Reconnaissance,UNSW,ToN,Cross,0.7684,0.0015,0.9344
