Attack,Source_Target,Env,SHAP_Direct_AUC,SHAP_Direct_F1,Random_Direct_AUC,Random_Direct_F1,SHAP10_F1_retrained
DoS,UNSW→CIC,Same,0.625,0.2041,0.258,0.056,0.9999
DoS,ToN→CIC,Cross,0.613,0.0004,0.559,0.0054,0.9993
DoS,BoT→CIC,Cross,0.729,0.0,0.66,0.0215,0.9992
DoS,CIC→BoT,Cross,0.817,0.0378,0.717,0.0805,0.9489
DoS,UNSW→BoT,Cross,0.548,0.1903,0.305,0.0993,0.9463
DoS,ToN→BoT,Same,0.665,0.0,0.311,0.0004,0.9364
DoS,CIC→UNSW,Same,0.7,0.3084,0.508,0.0567,0.9091
DoS,ToN→UNSW,Cross,0.353,0.0003,0.511,0.0222,0.8845
DoS,BoT→UNSW,Cross,0.544,0.0003,0.57,0.0139,0.8784
DoS,UNSW→ToN,Cross,0.678,0.0394,0.641,0.2355,0.895
DoS,CIC→ToN,Cross,0.206,0.0,0.334,0.0001,0.8933
DoS,BoT→ToN,Same,0.436,0.0,0.446,0.0001,0.8414
Reconnaissance,ToN→UNSW,Cross,0.8,0.0009,0.798,0.0301,0.9636
Reconnaissance,BoT→UNSW,Cross,0.615,0.1879,0.472,0.1423,0.9485
Reconnaissance,UNSW→ToN,Cross,0.768,0.0015,0.647,0.1264,0.9344
Reconnaissance,ToN→BoT,Same,0.761,0.1171,0.822,0.2209,0.9258
Reconnaissance,BoT→ToN,Same,0.428,0.1434,0.517,0.1683,0.8359
Reconnaissance,UNSW→BoT,Cross,0.562,0.0026,0.481,0.0765,0.9646
