class,rank,feature,abs_shap,mean_shap,direction
DDoS,1,L7_PROTO,3.00992417,2.98918319,attack
DDoS,2,LONGEST_FLOW_PKT,2.02250028,2.00972056,attack
DDoS,3,IN_BYTES,1.96596861,1.75616586,attack
DDoS,4,SHORTEST_FLOW_PKT,0.82837802,0.8230921,attack
DDoS,5,FLOW_DURATION_MILLISECONDS,0.69048154,0.48560038,attack
DDoS,6,SRC_TO_DST_SECOND_BYTES,0.51687503,0.329844,attack
DDoS,7,DURATION_IN,0.41378683,0.13630888,attack
DDoS,8,L4_SRC_PORT,0.38260749,-0.00705578,normal
DDoS,9,SRC_TO_DST_AVG_THROUGHPUT,0.14548819,0.11821787,attack
DDoS,10,IN_PKTS,0.14486678,0.1093659,attack
DoS,1,NUM_PKTS_UP_TO_128_BYTES,2.35385346,2.28378868,attack
DoS,2,IN_BYTES,1.51754022,1.51379514,attack
DoS,3,L4_SRC_PORT,0.81488752,0.30476698,attack
DoS,4,FLOW_DURATION_MILLISECONDS,0.5640136,0.34237868,attack
DoS,5,DURATION_IN,0.52302724,0.08123143,attack
DoS,6,NUM_PKTS_128_TO_256_BYTES,0.47360024,0.46412304,attack
DoS,7,SRC_TO_DST_SECOND_BYTES,0.33385518,0.19243012,attack
DoS,8,TCP_WIN_MAX_IN,0.14631964,0.13440679,attack
DoS,9,CLIENT_TCP_FLAGS,0.11147543,0.09077539,attack
DoS,10,TCP_WIN_MAX_OUT,0.10270134,0.0987775,attack
Reconnaissance,1,SERVER_TCP_FLAGS,2.59559894,2.52100515,attack
Reconnaissance,2,FLOW_DURATION_MILLISECONDS,0.89032918,0.50338942,attack
Reconnaissance,3,SRC_TO_DST_AVG_THROUGHPUT,0.78987396,0.77533758,attack
Reconnaissance,4,TCP_FLAGS,0.775774,0.75223231,attack
Reconnaissance,5,TCP_WIN_MAX_OUT,0.76329601,0.47670463,attack
Reconnaissance,6,IN_BYTES,0.63836372,0.6277138,attack
Reconnaissance,7,TCP_WIN_MAX_IN,0.63151729,0.62205392,attack
Reconnaissance,8,DURATION_IN,0.53319669,0.18746236,attack
Reconnaissance,9,L4_SRC_PORT,0.5151366,0.38541952,attack
Reconnaissance,10,SHORTEST_FLOW_PKT,0.45389336,0.45380321,attack
