class,f1,precision,recall,auc_roc,support_pos,support_neg
Bot,1.0,1.0,1.0,1.0,10000,100000
DDOS attack-HOIC,1.0,1.0,1.0,1.0,10000,100000
DDoS attacks-LOIC-HTTP,0.999949997499875,1.0,0.9999,0.9999999959999999,10000,100000
DoS attacks-GoldenEye,1.0,1.0,1.0,1.0,4230,42296
DoS attacks-Hulk,0.999949997499875,1.0,0.9999,0.9999999940000001,10000,100000
DoS attacks-SlowHTTPTest,1.0,1.0,1.0,1.0,2823,28233
DoS attacks-Slowloris,1.0,1.0,1.0,1.0,1902,19025
FTP-BruteForce,1.0,1.0,1.0,1.0,4086,40858
Infilteration,0.4407948462027039,0.2850604389156202,0.9716,0.9268561529999999,10000,100000
SSH-Bruteforce,0.9999481300897349,0.999896265560166,1.0,1.0,9639,96393
