class,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE
Bot,0.07309779,2.2072515,0.0,9.141352,0.05248955,0.021868309,0.100250274,2.3768077e-06,1.4450699,0.18269882,0.14386848,0.0,0.00020635128,0.0,0.23704742,0.028457282,0.24357095,1.5929701e-05,0.0,0.011228931,0.067534156,0.0,0.0,0.0,0.0,0.052846204,0.00982039,0.0,0.015317621,0.0,0.0,0.0,0.0,0.0042279763,0.0,0.0,0.0,0.0,0.0,0.0
DDOS attack-HOIC,0.3714776,0.0,0.0,0.0,0.22123264,0.17931718,0.055843987,0.15743165,0.006091451,0.46023428,0.0,0.7263188,0.31721684,1.3369063,0.13509636,0.031190058,0.056006413,0.0,0.0,0.21891807,0.0056018126,0.0,0.0,0.0,0.0,0.05495586,0.13451745,0.0463674,0.01633182,0.0,0.0,0.0,9.4004755,0.00046791023,0.0,0.0,0.0,0.0,0.0,0.0
DDoS attacks-LOIC-HTTP,0.27329525,0.59299666,0.002189838,0.024262952,0.54085124,0.13702329,0.79919094,0.75788677,5.970584,2.088205,0.4215487,0.056877434,0.25292516,0.0004314714,0.3833767,0.13953023,2.1877112,0.020883756,0.039245438,0.22235227,0.12797235,0.0,0.0,0.0,0.0,0.33525127,0.1631955,0.43648475,0.0,0.06734245,0.07911718,0.0,0.34744176,0.4678627,0.0,0.0,0.00067038886,0.0,0.0,0.0
DoS attacks-GoldenEye,1.3372668,0.013304172,0.0,0.02851733,0.20873082,0.08259194,0.06569821,0.97001386,0.85764617,0.7036261,0.020153977,0.14928472,0.5019422,2.1035485,0.07945027,0.44176286,1.2532344,0.065037936,0.92029226,0.2767507,0.04653542,0.025315661,0.0014748648,2.435376e-05,0.0,0.054486074,0.10311601,0.049756907,0.0,0.09739225,4.6076336,0.0,0.04378084,0.023327585,0.016396731,0.0,0.0,0.0,0.0,0.0
DoS attacks-Hulk,0.06674248,0.38961935,0.0034190544,0.31570673,0.28000176,0.061456792,0.5253653,0.17068876,0.14362615,0.7220613,0.003845565,0.3593762,0.15837792,0.40837738,0.20140073,0.8814855,2.323444,0.95916504,0.28174508,0.3203576,0.026995208,0.005084119,0.011587746,0.0,0.0,0.23907976,0.2440576,0.19622965,0.037356824,1.9693025,3.6182308,0.0007459489,1.0126139,0.030790325,0.0056364546,0.0,0.0,0.0,0.0,0.0
DoS attacks-SlowHTTPTest,0.30819952,7.893914,0.0,0.13425966,0.006325393,0.07024546,0.09931535,0.013206174,0.0,0.0,0.0,0.69378555,0.18569586,0.47286996,0.0,0.0,0.09880273,0.0,0.0,0.015321164,0.35862818,0.0,0.0,0.0,0.0,1.0461917,1.2317601,0.0018505803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS attacks-Slowloris,1.0250235,0.04039205,0.0,0.34504452,0.07745668,0.45219678,0.6383396,0.55373996,0.68954957,0.03597874,0.0,0.11257488,0.08414979,0.055845343,0.24778461,0.45117915,0.5869761,0.19107865,0.20856616,0.023421686,0.05495328,1.9483427,0.16549739,0.0,0.0,0.42772648,2.2110353,0.3302567,0.0,3.980053,0.03397962,0.0,0.34939352,0.06618676,0.022958903,0.0029278495,0.0,0.0,0.0,0.0
FTP-BruteForce,0.36559734,8.661515,0.0,0.16989988,0.0,0.009498502,0.0807989,0.43343025,0.0,0.0,0.0,0.035294004,0.13325523,0.82739407,0.0,0.0,0.09943348,0.0,0.0,0.0,0.0039979788,0.0,0.0,0.0,0.0,1.1798401,0.41230765,0.49522862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infilteration,0.08787555,0.12745667,0.0039445055,0.103855394,0.5320516,0.04815055,0.07019096,0.01788472,0.22809932,0.13153143,0.77473634,0.010223389,0.014729017,0.007479049,0.090159215,0.19461675,0.28565675,0.06390489,0.09001661,0.1477528,0.08459777,0.0043587685,0.0038902538,0.010449433,0.0016244306,0.16779138,0.14595354,0.0905457,0.057058714,0.019560447,0.007569281,0.01619417,0.75721896,0.17764023,0.008422322,0.0026514295,0.04756202,0.039417636,0.05434717,0.0
SSH-Bruteforce,0.31442502,4.4963803,0.00024567684,0.72064304,0.31605536,0.017705806,0.13940798,0.6825908,0.56146204,0.036445778,0.008728257,0.01177922,0.0,0.0040194304,0.29729325,0.037077226,0.034452144,0.005483077,0.49637696,0.091613345,0.00678448,0.0,0.0,0.0,0.0,0.2729688,0.3884859,0.12051816,6.1111884,0.00013223113,0.3854451,0.03539372,0.20771265,0.008887878,0.0,0.0,0.0,0.0,0.0,0.0
