class,rank,feature,abs_shap,mean_shap,direction
Bot,1,L7_PROTO,9.1413517,9.1413517,attack
Bot,2,L4_DST_PORT,2.20725155,2.20725155,attack
Bot,3,TCP_FLAGS,1.44506991,1.44115353,attack
Bot,4,LONGEST_FLOW_PKT,0.24357095,-0.2427696,normal
Bot,5,MIN_TTL,0.23704742,0.23704742,attack
Bot,6,CLIENT_TCP_FLAGS,0.18269882,0.17967261,attack
Bot,7,SERVER_TCP_FLAGS,0.14386848,0.14327379,attack
Bot,8,OUT_BYTES,0.10025027,0.09902478,attack
Bot,9,L4_SRC_PORT,0.07309779,-0.06120967,normal
Bot,10,DST_TO_SRC_SECOND_BYTES,0.06753416,0.02343651,attack
DDOS attack-HOIC,1,TCP_WIN_MAX_IN,9.4004755,9.4004755,attack
DDOS attack-HOIC,2,DURATION_OUT,1.33690631,1.33690631,attack
DDOS attack-HOIC,3,FLOW_DURATION_MILLISECONDS,0.72631878,0.56939805,attack
DDOS attack-HOIC,4,CLIENT_TCP_FLAGS,0.46023428,0.46023428,attack
DDOS attack-HOIC,5,L4_SRC_PORT,0.3714776,0.19792888,attack
DDOS attack-HOIC,6,DURATION_IN,0.31721684,0.14697278,attack
DDOS attack-HOIC,7,IN_BYTES,0.22123264,0.17708139,attack
DDOS attack-HOIC,8,SRC_TO_DST_SECOND_BYTES,0.21891807,0.15085644,attack
DDOS attack-HOIC,9,IN_PKTS,0.17931718,0.17880964,attack
DDOS attack-HOIC,10,OUT_PKTS,0.15743165,0.15743165,attack
DDoS attacks-LOIC-HTTP,1,TCP_FLAGS,5.97058392,5.4155426,attack
DDoS attacks-LOIC-HTTP,2,LONGEST_FLOW_PKT,2.18771124,2.18771124,attack
DDoS attacks-LOIC-HTTP,3,CLIENT_TCP_FLAGS,2.0882051,1.95911133,attack
DDoS attacks-LOIC-HTTP,4,OUT_BYTES,0.79919094,0.61185002,attack
DDoS attacks-LOIC-HTTP,5,OUT_PKTS,0.75788677,0.75788677,attack
DDoS attacks-LOIC-HTTP,6,L4_DST_PORT,0.59299666,0.59299666,attack
DDoS attacks-LOIC-HTTP,7,IN_BYTES,0.54085124,0.27420595,attack
DDoS attacks-LOIC-HTTP,8,TCP_WIN_MAX_OUT,0.4678627,0.40541929,attack
DDoS attacks-LOIC-HTTP,9,NUM_PKTS_UP_TO_128_BYTES,0.43648475,0.41827035,attack
DDoS attacks-LOIC-HTTP,10,SERVER_TCP_FLAGS,0.42154869,-0.35007548,normal
DoS attacks-GoldenEye,1,NUM_PKTS_512_TO_1024_BYTES,4.60763359,4.225667,attack
DoS attacks-GoldenEye,2,DURATION_OUT,2.10354853,1.924716,attack
DoS attacks-GoldenEye,3,L4_SRC_PORT,1.3372668,0.64706725,attack
DoS attacks-GoldenEye,4,LONGEST_FLOW_PKT,1.25323439,1.19953156,attack
DoS attacks-GoldenEye,5,OUT_PKTS,0.97001386,0.96625173,attack
DoS attacks-GoldenEye,6,MIN_IP_PKT_LEN,0.92029226,0.83459765,attack
DoS attacks-GoldenEye,7,TCP_FLAGS,0.85764617,0.85764617,attack
DoS attacks-GoldenEye,8,CLIENT_TCP_FLAGS,0.7036261,0.68269032,attack
DoS attacks-GoldenEye,9,DURATION_IN,0.50194222,0.43678704,attack
DoS attacks-GoldenEye,10,MAX_TTL,0.44176286,0.44176286,attack
DoS attacks-Hulk,1,NUM_PKTS_512_TO_1024_BYTES,3.61823082,3.42809606,attack
DoS attacks-Hulk,2,LONGEST_FLOW_PKT,2.32344389,2.32071733,attack
