class,rank,feature,abs_shap,mean_shap,direction
backdoor,1,OUT_PKTS,7.36208677,7.30770683,attack
backdoor,2,LONGEST_FLOW_PKT,1.30020714,1.29333639,attack
backdoor,3,IN_PKTS,1.08353388,1.06964111,attack
backdoor,4,L7_PROTO,0.99176383,-0.02166997,normal
backdoor,5,DST_TO_SRC_AVG_THROUGHPUT,0.72568798,0.71728039,attack
backdoor,6,NUM_PKTS_UP_TO_128_BYTES,0.54711843,0.54114771,attack
backdoor,7,MIN_TTL,0.53206038,0.50816721,attack
backdoor,8,TCP_WIN_MAX_IN,0.47944802,0.47720319,attack
backdoor,9,OUT_BYTES,0.44708923,0.43554443,attack
backdoor,10,SRC_TO_DST_AVG_THROUGHPUT,0.42233905,0.42233905,attack
ddos,1,TCP_WIN_MAX_IN,1.98189437,1.93673217,attack
ddos,2,L4_DST_PORT,1.70462561,1.44164336,attack
ddos,3,L7_PROTO,0.5770793,0.43913373,attack
ddos,4,NUM_PKTS_128_TO_256_BYTES,0.56469065,0.42710748,attack
ddos,5,TCP_WIN_MAX_OUT,0.47397518,0.30009183,attack
ddos,6,LONGEST_FLOW_PKT,0.44537911,0.43198213,attack
ddos,7,CLIENT_TCP_FLAGS,0.42795122,0.15691333,attack
ddos,8,SHORTEST_FLOW_PKT,0.38013783,0.37250286,attack
ddos,9,DST_TO_SRC_AVG_THROUGHPUT,0.35493892,0.31711581,attack
ddos,10,MIN_IP_PKT_LEN,0.34970692,0.32794091,attack
dos,1,TCP_WIN_MAX_IN,2.60279322,2.60279322,attack
dos,2,LONGEST_FLOW_PKT,0.75978291,0.63050157,attack
dos,3,DNS_QUERY_TYPE,0.60791618,0.52887899,attack
dos,4,DNS_TTL_ANSWER,0.50646985,0.40757468,attack
dos,5,MIN_TTL,0.50164258,0.31794173,attack
dos,6,SRC_TO_DST_AVG_THROUGHPUT,0.34782287,0.32937589,attack
dos,7,IN_PKTS,0.26786622,0.23249193,attack
dos,8,DNS_QUERY_ID,0.26610169,0.24632505,attack
dos,9,L4_SRC_PORT,0.25240868,-0.15179925,normal
dos,10,MIN_IP_PKT_LEN,0.22510645,0.13197641,attack
injection,1,DST_TO_SRC_AVG_THROUGHPUT,0.87990487,0.7267167,attack
injection,2,TCP_WIN_MAX_IN,0.77969158,0.73519546,attack
injection,3,OUT_BYTES,0.60641712,0.55081141,attack
injection,4,L4_DST_PORT,0.60085696,0.57855922,attack
injection,5,TCP_WIN_MAX_OUT,0.36664718,0.22549336,attack
injection,6,OUT_PKTS,0.34921458,0.25364387,attack
injection,7,CLIENT_TCP_FLAGS,0.3485513,0.33444789,attack
