class,rank,feature,abs_shap,mean_shap,direction
Analysis,1,MAX_TTL,2.66027164,2.64667511,attack
Analysis,2,MIN_IP_PKT_LEN,1.65829217,1.65829217,attack
Analysis,3,L4_DST_PORT,0.7672742,0.74649495,attack
Analysis,4,PROTOCOL,0.65435135,0.244617,attack
Analysis,5,L4_SRC_PORT,0.40562123,0.27644071,attack
Analysis,6,RETRANSMITTED_OUT_BYTES,0.35363069,-0.13058585,normal
Analysis,7,SRC_TO_DST_AVG_THROUGHPUT,0.17933644,0.02406773,attack
Analysis,8,SHORTEST_FLOW_PKT,0.13842517,0.05786705,attack
Analysis,9,DST_TO_SRC_AVG_THROUGHPUT,0.13461812,0.05164839,attack
Analysis,10,LONGEST_FLOW_PKT,0.10497443,0.01499238,attack
Backdoor,1,MIN_IP_PKT_LEN,3.10414052,3.10414052,attack
Backdoor,2,L4_SRC_PORT,0.83215505,0.53997105,attack
Backdoor,3,PROTOCOL,0.82318825,0.29283214,attack
Backdoor,4,MAX_TTL,0.53844738,0.52415168,attack
Backdoor,5,MIN_TTL,0.4035717,0.34198436,attack
Backdoor,6,RETRANSMITTED_IN_BYTES,0.39075926,0.32695875,attack
Backdoor,7,L4_DST_PORT,0.35103133,0.30785722,attack
Backdoor,8,OUT_BYTES,0.32172778,-0.1782819,normal
Backdoor,9,LONGEST_FLOW_PKT,0.20912603,0.02797751,attack
Backdoor,10,IN_BYTES,0.20738283,0.00884441,attack
DoS,1,MIN_TTL,2.84998965,2.82166004,attack
DoS,2,L4_SRC_PORT,0.41630885,0.33235958,attack
DoS,3,L4_DST_PORT,0.39878258,0.30792949,attack
DoS,4,LONGEST_FLOW_PKT,0.37250236,0.03454533,attack
DoS,5,MAX_TTL,0.29038867,0.287276,attack
DoS,6,TCP_FLAGS,0.24640229,0.01931858,attack
DoS,7,SRC_TO_DST_SECOND_BYTES,0.22614118,0.06375336,attack
DoS,8,IN_PKTS,0.22234897,0.00327099,attack
DoS,9,RETRANSMITTED_OUT_BYTES,0.205626,-0.04286126,normal
DoS,10,RETRANSMITTED_IN_BYTES,0.19766507,0.01638283,attack
Exploits,1,MIN_TTL,3.91978168,3.91423512,attack
Exploits,2,MAX_TTL,0.42703456,0.42572284,attack
Exploits,3,LONGEST_FLOW_PKT,0.37835607,0.31038442,attack
Exploits,4,L7_PROTO,0.32914248,0.24307558,attack
Exploits,5,MIN_IP_PKT_LEN,0.27656266,0.26875272,attack
Exploits,6,L4_DST_PORT,0.26995182,0.20682272,attack
Exploits,7,OUT_BYTES,0.21983975,0.13632792,attack
Exploits,8,RETRANSMITTED_IN_PKTS,0.21384478,0.14772597,attack
Exploits,9,NUM_PKTS_UP_TO_128_BYTES,0.17677654,-0.08861434,normal
Exploits,10,CLIENT_TCP_FLAGS,0.1614608,0.11686665,attack
Fuzzers,1,MIN_TTL,2.43744469,2.42559099,attack
Fuzzers,2,L4_DST_PORT,1.52352583,1.20222294,attack
Fuzzers,3,MIN_IP_PKT_LEN,1.09322953,1.09322953,attack
Fuzzers,4,MAX_TTL,0.62588739,0.62313461,attack
Fuzzers,5,LONGEST_FLOW_PKT,0.26768535,0.14429799,attack
Fuzzers,6,OUT_BYTES,0.26323539,0.17188857,attack
Fuzzers,7,ICMP_TYPE,0.25804409,0.13642992,attack
Fuzzers,8,RETRANSMITTED_IN_BYTES,0.22807395,-0.06737564,normal
Fuzzers,9,ICMP_IPV4_TYPE,0.22436766,0.12568593,attack
Fuzzers,10,DST_TO_SRC_SECOND_BYTES,0.21865222,0.18007618,attack
Generic,1,MIN_TTL,3.25101972,3.24206209,attack
Generic,2,DNS_QUERY_TYPE,2.80323768,2.50203562,attack
Generic,3,LONGEST_FLOW_PKT,1.45996261,1.32709932,attack
Generic,4,L4_DST_PORT,0.65327972,0.62789077,attack
Generic,5,IN_BYTES,0.4633936,-0.34086272,normal
Generic,6,MAX_TTL,0.35459867,0.35232532,attack
Generic,7,RETRANSMITTED_OUT_BYTES,0.34665948,-0.02470638,normal
Generic,8,SRC_TO_DST_AVG_THROUGHPUT,0.22114603,0.19871974,attack
Generic,9,SHORTEST_FLOW_PKT,0.19032355,0.15855078,attack
Generic,10,MIN_IP_PKT_LEN,0.18427993,0.18389909,attack
Reconnaissance,1,MIN_TTL,2.97986078,2.9741292,attack
Reconnaissance,2,L4_DST_PORT,2.87722135,2.65087748,attack
Reconnaissance,3,MIN_IP_PKT_LEN,1.03655028,1.02888215,attack
Reconnaissance,4,MAX_TTL,0.84093475,0.84021252,attack
Reconnaissance,5,L4_SRC_PORT,0.30041653,-0.05960069,normal
Reconnaissance,6,SRC_TO_DST_SECOND_BYTES,0.22453047,0.16544819,attack
Reconnaissance,7,SHORTEST_FLOW_PKT,0.22200067,0.19234736,attack
Reconnaissance,8,LONGEST_FLOW_PKT,0.18675458,0.06099572,attack
Reconnaissance,9,ICMP_TYPE,0.15748492,0.00413683,attack
Reconnaissance,10,L7_PROTO,0.15288739,0.08480548,attack
Shellcode,1,MIN_TTL,4.84627676,4.84627676,attack
Shellcode,2,L4_DST_PORT,1.80067778,1.59931684,attack
Shellcode,3,LONGEST_FLOW_PKT,0.97527528,0.89875895,attack
Shellcode,4,MIN_IP_PKT_LEN,0.63099825,0.63099825,attack
Shellcode,5,MAX_TTL,0.62478667,0.62478667,attack
Shellcode,6,ICMP_TYPE,0.49158353,-0.02829904,normal
Shellcode,7,DST_TO_SRC_SECOND_BYTES,0.46836066,0.25874731,attack
Shellcode,8,RETRANSMITTED_IN_BYTES,0.45561749,0.37881467,attack
Shellcode,9,SHORTEST_FLOW_PKT,0.34356806,0.19855964,attack
