semantic_class,dataset,rank,feature
DDoS,BoT,1,L7_PROTO
DDoS,BoT,2,LONGEST_FLOW_PKT
DDoS,BoT,3,IN_BYTES
DDoS,BoT,4,SHORTEST_FLOW_PKT
DDoS,BoT,5,FLOW_DURATION_MILLISECONDS
DDoS,BoT,6,SRC_TO_DST_SECOND_BYTES
DDoS,BoT,7,DURATION_IN
DDoS,BoT,8,L4_SRC_PORT
DDoS,BoT,9,SRC_TO_DST_AVG_THROUGHPUT
DDoS,BoT,10,IN_PKTS
DDoS,CIC,1,TCP_WIN_MAX_IN
DDoS,CIC,2,TCP_FLAGS
DDoS,CIC,3,CLIENT_TCP_FLAGS
DDoS,CIC,4,LONGEST_FLOW_PKT
DDoS,CIC,5,DURATION_OUT
DDoS,CIC,6,OUT_PKTS
DDoS,CIC,7,OUT_BYTES
DDoS,CIC,8,FLOW_DURATION_MILLISECONDS
DDoS,CIC,9,IN_BYTES
DDoS,CIC,10,L4_SRC_PORT
DDoS,ToN,1,TCP_WIN_MAX_IN
DDoS,ToN,2,L4_DST_PORT
DDoS,ToN,3,L7_PROTO
DDoS,ToN,4,NUM_PKTS_128_TO_256_BYTES
DDoS,ToN,5,TCP_WIN_MAX_OUT
DDoS,ToN,6,LONGEST_FLOW_PKT
DDoS,ToN,7,CLIENT_TCP_FLAGS
DDoS,ToN,8,SHORTEST_FLOW_PKT
DDoS,ToN,9,DST_TO_SRC_AVG_THROUGHPUT
DDoS,ToN,10,MIN_IP_PKT_LEN
