semantic_class,dataset,rank,feature
DoS,BoT,1,NUM_PKTS_UP_TO_128_BYTES
DoS,BoT,2,IN_BYTES
DoS,BoT,3,L4_SRC_PORT
DoS,BoT,4,FLOW_DURATION_MILLISECONDS
DoS,BoT,5,DURATION_IN
DoS,BoT,6,NUM_PKTS_128_TO_256_BYTES
DoS,BoT,7,SRC_TO_DST_SECOND_BYTES
DoS,BoT,8,TCP_WIN_MAX_IN
DoS,BoT,9,CLIENT_TCP_FLAGS
DoS,BoT,10,TCP_WIN_MAX_OUT
DoS,CIC,1,NUM_PKTS_512_TO_1024_BYTES
DoS,CIC,2,L4_DST_PORT
DoS,CIC,3,LONGEST_FLOW_PKT
DoS,CIC,4,NUM_PKTS_256_TO_512_BYTES
DoS,CIC,5,DURATION_OUT
DoS,CIC,6,DST_TO_SRC_AVG_THROUGHPUT
DoS,CIC,7,L4_SRC_PORT
DoS,CIC,8,MAX_TTL
DoS,CIC,9,CLIENT_TCP_FLAGS
DoS,CIC,10,OUT_PKTS
DoS,ToN,1,TCP_WIN_MAX_IN
DoS,ToN,2,LONGEST_FLOW_PKT
DoS,ToN,3,DNS_QUERY_TYPE
DoS,ToN,4,DNS_TTL_ANSWER
DoS,ToN,5,MIN_TTL
DoS,ToN,6,SRC_TO_DST_AVG_THROUGHPUT
DoS,ToN,7,IN_PKTS
DoS,ToN,8,DNS_QUERY_ID
DoS,ToN,9,L4_SRC_PORT
DoS,ToN,10,MIN_IP_PKT_LEN
DoS,UNSW,1,MIN_TTL
DoS,UNSW,2,L4_SRC_PORT
DoS,UNSW,3,L4_DST_PORT
DoS,UNSW,4,LONGEST_FLOW_PKT
DoS,UNSW,5,MAX_TTL
DoS,UNSW,6,TCP_FLAGS
DoS,UNSW,7,SRC_TO_DST_SECOND_BYTES
DoS,UNSW,8,IN_PKTS
DoS,UNSW,9,RETRANSMITTED_OUT_BYTES
DoS,UNSW,10,RETRANSMITTED_IN_BYTES
