semantic_class,dataset,rank,feature
Reconnaissance,BoT,1,SERVER_TCP_FLAGS
Reconnaissance,BoT,2,FLOW_DURATION_MILLISECONDS
Reconnaissance,BoT,3,SRC_TO_DST_AVG_THROUGHPUT
Reconnaissance,BoT,4,TCP_FLAGS
Reconnaissance,BoT,5,TCP_WIN_MAX_OUT
Reconnaissance,BoT,6,IN_BYTES
Reconnaissance,BoT,7,TCP_WIN_MAX_IN
Reconnaissance,BoT,8,DURATION_IN
Reconnaissance,BoT,9,L4_SRC_PORT
Reconnaissance,BoT,10,SHORTEST_FLOW_PKT
Reconnaissance,ToN,1,LONGEST_FLOW_PKT
Reconnaissance,ToN,2,SRC_TO_DST_AVG_THROUGHPUT
Reconnaissance,ToN,3,SRC_TO_DST_SECOND_BYTES
Reconnaissance,ToN,4,IN_BYTES
Reconnaissance,ToN,5,L7_PROTO
Reconnaissance,ToN,6,SHORTEST_FLOW_PKT
Reconnaissance,ToN,7,L4_DST_PORT
Reconnaissance,ToN,8,FLOW_DURATION_MILLISECONDS
Reconnaissance,ToN,9,TCP_WIN_MAX_IN
Reconnaissance,ToN,10,TCP_FLAGS
Reconnaissance,UNSW,1,MIN_TTL
Reconnaissance,UNSW,2,L4_DST_PORT
Reconnaissance,UNSW,3,MIN_IP_PKT_LEN
Reconnaissance,UNSW,4,MAX_TTL
Reconnaissance,UNSW,5,L4_SRC_PORT
Reconnaissance,UNSW,6,SRC_TO_DST_SECOND_BYTES
Reconnaissance,UNSW,7,SHORTEST_FLOW_PKT
Reconnaissance,UNSW,8,LONGEST_FLOW_PKT
Reconnaissance,UNSW,9,ICMP_TYPE
Reconnaissance,UNSW,10,L7_PROTO
